lat,lng
40.8314213,-73.9183079
40.7005076,-73.8942003
40.7055449,-73.9531627
40.7819473,-73.9456705
40.731948,-73.7474377
40.6267682,-73.9935407
40.7132923,-73.8851404
40.6885631,-73.8757069
40.6877043,-73.8734873
40.8874212,-73.824489
40.6716074,-73.9169427
40.7701531,-73.877598
40.6254635,-73.9838323
40.9063395,-73.8964918
40.7685591,-73.821405
40.7220322,-73.7978274
40.7509033,-73.9981196
40.6280046,-73.9181642
40.5373666,-74.2178683
40.8353596,-73.9402171
40.6665231,-73.8135255
40.6313217,-73.9023297
40.7183094,-74.0018326
40.7460261,-73.83331
40.7307424,-73.713046
40.6891332,-73.9513172
40.7478904,-73.7103303
40.7631147,-73.9996498
40.7277544,-73.9572421
40.7477701,-73.8159858
40.7023745,-73.8754323
40.742369,-73.7042664
40.7023404,-73.8119312
40.757333,-73.9313498
40.6246874,-74.0100434
40.6928902,-73.7537521
40.5789211,-73.974959
40.7634806,-73.9672727
40.7313806,-73.9737158
40.7586596,-73.8764568
40.5639641,-74.1235502
40.6357861,-73.9595241
40.7080403,-73.8505918
40.8568747,-73.8877013
40.75278,-73.8662678
40.624051,-73.999946
40.7355642,-73.9150451
40.7065556,-73.958313
40.5948814,-74.0980671
40.7370381,-73.9009009
40.6236815,-74.1246982
40.5868868,-74.0865739
40.5783898,-74.1269356
40.6694138,-73.8511001
40.8909364,-73.8390989
40.7151584,-74.0021139
40.7316898,-73.805083
40.6744323,-73.9669343
40.7014275,-73.8916526
40.7596857,-73.7149359
40.722639,-73.8378998
40.6665802,-73.735862
40.8201469,-73.890643
40.8013526,-73.9678754
40.5935483,-74.0937659
40.7933502,-73.9727331
40.7869063,-73.8116114
40.7042021,-73.8828731
40.6998204,-73.79255
40.757095,-73.7893649
40.7348371,-73.983113
40.8850501,-73.8917656
40.6061132,-73.9548711
40.7039752,-73.9230842
40.6579428,-73.9368656
40.6959973,-73.9751134
40.6153293,-74.0315128
40.7787684,-73.9064102
